====Running MPQLAM experiment with seed 0 on instance with IP = ec2-13-57-184-46.us-west-1.compute.amazonaws.com ==== 
====Running MPQLAM experiment with seed 0 on instance with IP = ec2-13-57-184-46.us-west-1.compute.amazonaws.com ==== 
====Running MPQLAM experiment with seed 0 on instance with IP = ec2-13-57-184-46.us-west-1.compute.amazonaws.com ==== 
----------------------------------------
Test Episodes: 30, Avg. Reward: -1001.46 Avg. Success: 0.0 Std. Reward: 0.0
----------------------------------------
Episode: 0, total numsteps: 100, episode steps: 100, reward: -984.66
Episode: 1, total numsteps: 200, episode steps: 100, reward: -807.19
Episode: 2, total numsteps: 300, episode steps: 100, reward: -1012.28
Episode: 3, total numsteps: 400, episode steps: 100, reward: -822.55
Episode: 4, total numsteps: 500, episode steps: 100, reward: -991.89
Episode: 5, total numsteps: 600, episode steps: 100, reward: -930.29
Episode: 6, total numsteps: 700, episode steps: 100, reward: -962.94
Episode: 7, total numsteps: 800, episode steps: 100, reward: -921.39
Episode: 8, total numsteps: 900, episode steps: 100, reward: -912.49
Episode: 9, total numsteps: 1000, episode steps: 100, reward: -874.89
Episode: 10, total numsteps: 1100, episode steps: 100, reward: -994.23
Episode: 11, total numsteps: 1200, episode steps: 100, reward: -945.78
Episode: 12, total numsteps: 1300, episode steps: 100, reward: -859.98
Episode: 13, total numsteps: 1400, episode steps: 100, reward: -928.81
Episode: 14, total numsteps: 1500, episode steps: 100, reward: -950.8
Episode: 15, total numsteps: 1600, episode steps: 100, reward: -991.15
Episode: 16, total numsteps: 1700, episode steps: 100, reward: -884.95
Episode: 17, total numsteps: 1800, episode steps: 100, reward: -853.37
Episode: 18, total numsteps: 1900, episode steps: 100, reward: -909.43
Episode: 19, total numsteps: 2000, episode steps: 100, reward: -1013.11
Episode: 20, total numsteps: 2100, episode steps: 100, reward: -1008.24
Episode: 21, total numsteps: 2200, episode steps: 100, reward: -930.62
Episode: 22, total numsteps: 2300, episode steps: 100, reward: -925.86
