====Running SAC experiment with seed 123 on instance with IP = ec2-54-215-234-170.us-west-1.compute.amazonaws.com ==== 
----------------------------------------
Test Episodes: 30, Avg. Reward: -1026.51 Avg. Success: 0.0 Std. Reward: 0.0
----------------------------------------
Episode: 0, total numsteps: 100, episode steps: 100, reward: -995.05
Episode: 1, total numsteps: 200, episode steps: 100, reward: -901.08
Episode: 2, total numsteps: 300, episode steps: 100, reward: -1001.72
Episode: 3, total numsteps: 400, episode steps: 100, reward: -975.89
Episode: 4, total numsteps: 500, episode steps: 100, reward: -960.12
Episode: 5, total numsteps: 600, episode steps: 100, reward: -899.86
Episode: 6, total numsteps: 700, episode steps: 100, reward: -864.21
Episode: 7, total numsteps: 800, episode steps: 100, reward: -951.76
Episode: 8, total numsteps: 900, episode steps: 100, reward: -896.02
Episode: 9, total numsteps: 1000, episode steps: 100, reward: -942.17
Episode: 10, total numsteps: 1100, episode steps: 100, reward: -992.25
Episode: 11, total numsteps: 1200, episode steps: 100, reward: -996.81
Episode: 12, total numsteps: 1300, episode steps: 100, reward: -909.45
Episode: 13, total numsteps: 1400, episode steps: 100, reward: -1016.28
Episode: 14, total numsteps: 1500, episode steps: 100, reward: -865.67
Episode: 15, total numsteps: 1600, episode steps: 100, reward: -808.16
Episode: 16, total numsteps: 1700, episode steps: 100, reward: -873.35
Episode: 17, total numsteps: 1800, episode steps: 100, reward: -801.0
Episode: 18, total numsteps: 1900, episode steps: 100, reward: -832.45
Episode: 19, total numsteps: 2000, episode steps: 100, reward: -997.23
Episode: 20, total numsteps: 2100, episode steps: 100, reward: -764.68
Episode: 21, total numsteps: 2200, episode steps: 100, reward: -914.62
Episode: 22, total numsteps: 2300, episode steps: 100, reward: -864.29
Episode: 23, total numsteps: 2400, episode steps: 100, reward: -1003.96
Episode: 24, total numsteps: 2500, episode steps: 100, reward: -939.44
Episode: 25, total numsteps: 2600, episode steps: 100, reward: -1009.06
Episode: 26, total numsteps: 2700, episode steps: 100, reward: -866.2
Episode: 27, total numsteps: 2800, episode steps: 100, reward: -964.37
Episode: 28, total numsteps: 2900, episode steps: 100, reward: -990.1
Episode: 29, total numsteps: 3000, episode steps: 100, reward: -964.31
Episode: 30, total numsteps: 3100, episode steps: 100, reward: -980.67
Episode: 31, total numsteps: 3200, episode steps: 100, reward: -1030.33
Episode: 32, total numsteps: 3300, episode steps: 100, reward: -827.82
Episode: 33, total numsteps: 3400, episode steps: 100, reward: -813.86
Episode: 34, total numsteps: 3500, episode steps: 100, reward: -872.61
Episode: 35, total numsteps: 3600, episode steps: 100, reward: -922.69
Episode: 36, total numsteps: 3700, episode steps: 100, reward: -908.36
Episode: 37, total numsteps: 3800, episode steps: 100, reward: -847.89
Episode: 38, total numsteps: 3900, episode steps: 100, reward: -902.43
Episode: 39, total numsteps: 4000, episode steps: 100, reward: -978.44
----------------------------------------
Test Episodes: 30, Avg. Reward: -742.48 Avg. Success: 0.0 Std. Reward: 0.0
----------------------------------------
Episode: 40, total numsteps: 4100, episode steps: 100, reward: -925.6
Episode: 41, total numsteps: 4200, episode steps: 100, reward: -999.41
Episode: 42, total numsteps: 4300, episode steps: 100, reward: -977.59
Episode: 43, total numsteps: 4400, episode steps: 100, reward: -983.99
Episode: 44, total numsteps: 4500, episode steps: 100, reward: -1003.73
Episode: 45, total numsteps: 4600, episode steps: 100, reward: -867.36
Episode: 46, total numsteps: 4700, episode steps: 100, reward: -923.32
Episode: 47, total numsteps: 4800, episode steps: 100, reward: -787.48
Episode: 48, total numsteps: 4900, episode steps: 100, reward: -842.92
Episode: 49, total numsteps: 5000, episode steps: 100, reward: -942.31
Episode: 50, total numsteps: 5100, episode steps: 100, reward: -915.98
Episode: 51, total numsteps: 5200, episode steps: 100, reward: -899.47
Episode: 52, total numsteps: 5300, episode steps: 100, reward: -881.12
Episode: 53, total numsteps: 5400, episode steps: 100, reward: -898.63
Episode: 54, total numsteps: 5500, episode steps: 100, reward: -941.24
Episode: 55, total numsteps: 5600, episode steps: 100, reward: -892.55
Episode: 56, total numsteps: 5700, episode steps: 100, reward: -911.06
Episode: 57, total numsteps: 5800, episode steps: 100, reward: -972.25
Episode: 58, total numsteps: 5900, episode steps: 100, reward: -913.73
Episode: 59, total numsteps: 6000, episode steps: 100, reward: -884.48
Episode: 60, total numsteps: 6100, episode steps: 100, reward: -617.64
Episode: 61, total numsteps: 6200, episode steps: 100, reward: -844.34
Episode: 62, total numsteps: 6300, episode steps: 100, reward: -989.71
Episode: 63, total numsteps: 6400, episode steps: 100, reward: -836.86
Episode: 64, total numsteps: 6500, episode steps: 100, reward: -961.16
Episode: 65, total numsteps: 6600, episode steps: 100, reward: -924.89
Episode: 66, total numsteps: 6700, episode steps: 100, reward: -895.18
Episode: 67, total numsteps: 6800, episode steps: 100, reward: -849.36
Episode: 68, total numsteps: 6900, episode steps: 100, reward: -976.92
Episode: 69, total numsteps: 7000, episode steps: 100, reward: -890.07
Episode: 70, total numsteps: 7100, episode steps: 100, reward: -933.6
Episode: 71, total numsteps: 7200, episode steps: 100, reward: -851.93
Episode: 72, total numsteps: 7300, episode steps: 100, reward: -960.36
Episode: 73, total numsteps: 7400, episode steps: 100, reward: -875.35
Episode: 74, total numsteps: 7500, episode steps: 100, reward: -977.22
Episode: 75, total numsteps: 7600, episode steps: 100, reward: -935.49
